objectid,filename,title,format,interpretation,creator,findingaid,date,date_expanded,category,subject,url,speaker,pageref,citedtext,rights,rightsstatement
1,monody.jpeg,To the Memory of a Lady Lately Deceased: A Monody,image/jpeg,"Given the title of the novel, Belinda, and the characteristics outlined here making up the majority of her character construction, this preface powerfully establishes Edgeworth's desire to showcase the kind of romantic prudence she deemed essential to successful English love matches. Also of note, that in Lyttleton's poem he does distinguish his deceased wife Lucy's charms as being specifically virtuous and distinctly English (as compared to Italy and France), so there is something to be said regarding Edgeworth's larger claims of the height of civility and its association with English culture superceding that of other nations.",Lord George Lyttleton,"This excerpt can be found in part XII, at the bottom page nine of the primary source document.",1747,1747,Poetry,Domestic Life; Matrimony; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99118070440001021,Lord George Lyttleton,1,"Preface: ""A prudence undeceiving, undeceived, / That nor too little, nor too much believed; / That scorned unjust Suspicion's coward fear, / and without weakness knew to be sincere",,
2,moraltales.jpeg,Contes Moraux (Moral Tales),image/jpeg,"Originally a writer for comedy, Marmontel began this series with some initial essays written with fallacious, overdetermined foundational premises, each different but based in contemporary social observations or sayings that were often taken for granted. Over time, these amassed into a large collection of instructive tales, in which he complicated the initial impressions/assumptions people make through the lives of each character drawn. Edgeworth makes numerous and explicit references to this story collection, and it can be seen in a sizable influence to her writing style, where it can sometimes approach a didactic element; however, she also does take up a similar project of plumbing the depths of social questions and constructing characters that do the work of demanding a more nuanced evaluation of things like London society life, marriage, and perspectives on the globalized world (France, the West Indies, etc).",Jean-Francois Marmontel,The link provided offers a digitized copy of the primary source.,1764,1764-1766,Story Collection,Literary Culture; Moral; Translation; Comedy; Global Literature,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99119034500001021,Maria Edgeworth,3,"""The following work is offered to the public as a Moral Tale--the author not wishing to acknowledge a Novel.""",,
3,caroline.jpeg,Caroline de Litchfield,image/jpeg,"This author is also known by her married name, Isabelle de Montolieu. She is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.",Isabelle Polier de Bottens,The link provided offers a digitized copy of the primary source.,1786,1786,Novel,Authorship; Contemporary Works; Moral,https://hdl.handle.net/2027/nyp.33433075797716,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
4,inchbald.jpeg,A Simple Story,image/jpeg,"A novel and author admired by Edgeworth, and from whom she drew inspiration. She is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.",Elizabeth Inchbald,The link provided offers a digitized copy of the primary source.,1791,1791,Novel,Authorship; Contemporary Works; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99110287970001021,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
5,evelina.jpeg,Evelina,image/jpeg,"Edgeworth was a subscriber of Burney's works, and likely drew inspiration from her. She is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.",Frances Burney,The link provided offers a digitized copy of the primary source.,1778,1778,Novel,Authorship; Contemporary Works; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99111216820001021,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
6,cecilia.jpeg,Cecilia,image/jpeg,"Edgeworth was a subscriber of Burney's works, and likely drew inspiration from her. She is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.",Frances Burney,The link provided offers a digitized copy of the primary source.,1782,1782,Novel,Authorship; Contemporary Works; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99123377000001021,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
7,camilla.jpeg,Camilla,image/jpeg,"Edgeworth was a subscriber of Burney's works, and likely drew inspiration from her. She is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.",Frances Burney,The link provided offers a digitized copy of the primary source.,1796,1796,Novel,Authorship; Contemporary Works; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99114249080001021,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
8,zeluco.jpeg,Zeluco,image/jpeg,Dr.Moore is mentioned by Edgeworth as the inspiration for Dr.X---. He is identified here among the authors Edgeworth admired because of their tendency to write novels that were in some way either instructive or emulative of elevated virtue/morality.,John Moore,The link provided offers a digitized copy of the primary source.,1789,1789,Novel,Authorship; Contemporary Works; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99117718180001021,Maria Edgeworth,3,"""Were all novels like those of madame de Crousaz, Mrs. Inchbald, miss Burney, or Dr.Moore, she would adopt the name of novel with delight: But so much folly, errour, and vice are disseminated in books classed under this denomination, that it is hoped the wish to assume another title will be attributed to feelings that are laudable, and not fastidious.""",,
9,stanhope.jpeg,Letters…to his Son,image/jpeg,"It is uncertain the precise inspiration of this name, however these letters from Philip Stanhope (Earl of Chesterfield) were addressed to his son offering advice and instruction on moral and social subjects, much as Mrs. Stanhope attempts to do for Belinda to much less beneficial effect. This contrast was likely deliberate, in that the contradiction highlights the distinct lack of guidance Mrs.Stanhope provides so much as orders for her will to be done.",Philip Stanhope,The link provided offers a digitized copy of the primary source.,1774,1774,Correspondence; Non-fiction,Literary Culture; Moral,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99124890780001021,Narrator,7,"""Mrs. Stanhope, a well-bred woman, accomplished in that branch of knowledge, which is called the art of rising in the world, had, with but a small fortune, contrived to live in the highest company.""",,
10,lock.jpeg,The Rape of the Lock,image/jpeg,"Potential inspiration for the name of the titular character of this novel, like the heroine of this poem and Lord Geroge Lyttleton's Advice to a Lady. In this mock-epic, Belinda is outraged at her suitor for cutting and absconding with a lock of her hair--based on a similar incident that happened in real life. There is a scene in which Lady Delacour suggests that Clarence do the same with a lock of novel Belinda's hair, pointing to the reliability of this assumed source of inspiration--along with Belinda's subsequent distancing from any such infringements on her personal integrity. [See the reference to the same primary source, from page 70 of the novel for more information.]",Alexander Pope,The link provided offers a digitized copy of the primary source.,1714,1714,Poetry,Contemporary Works; Literary Culture; Epic; Satire,https://bc.primo.exlibrisgroup.com/permalink/01BC_INST/1nm9l4s/alma99117846300001021,Narrator,7,"""One niece still remained unmarried--Belinda Portman, of whom she was determined to get rid of with all convenient expedition.""",,
